objectID,title,period,dynasty,reign,objectDate,objectBeginDate,objectEndDate,medium,dimensions,classification,country,region,city,tags
577187,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,
577188,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,
577193,Scale from Armor,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Bronze,average l. ca. 11.5 cm (4 1/2 in),,Egypt,"Upper Egypt, Thebes",,
591475,Papyrus fragments from the Book of the Dead of the Scribe Roy,New Kingdom,"Dynasty 18, late or early 19",Haremhab or later,ca. 1323–1295 B.C. possibly,-1323,-1295,"Papyrus, ink",,,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Hieroglyphs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028721', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193762'}]"
591597,Large carnelian barrel beads -- see primary records,New Kingdom,Dynasty 18,reign of Thutmose III,ca. 1479–1425 BC,-1479,-1425,Carnelian,,,Egypt,,,
590859,Relief from the South Wall of a Chapel of Ramesses I,"New Kingdom, Ramesside",Dynasty 19,reign of Seti I,ca. 1295–1294 B.C.,-1295,-1294,Limestone,,,Egypt,Northern Upper Egypt,,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]"
590858,Relief from the South Wall of a Chapel of Ramesses I,"New Kingdom, Ramesside",Dynasty 19,reign of Seti I,ca. 1295–1294 B.C.,-1295,-1294,Limestone,,,Egypt,Northern Upper Egypt,,"[{'term': 'Feet', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300310200', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q15807'}]"
590860,Relief from the South Wall of a Chapel of Ramesses I,"New Kingdom, Ramesside",Dynasty 19,reign of Seti I,ca. 1295–1294 B.C.,-1295,-1294,Limestone,,,Egypt,Northern Upper Egypt,,"[{'term': 'Legs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300310192', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8265768'}]"
591131,"Disk Made of Two Sheets of Gold, One Concave the Other  Decorated with Feathers or Palm Fronds",New Kingdom,Dynasty 18,reign of Thutmose III,ca. 1479–1425 B.C.,-1479,-1479,Gold,H. 14.6 cm (5 3/4 in.); W. 14 cm (5 1/2 in.),,Egypt,"Upper Egypt, Thebes",,
590857,Relief from the South Wall of a Chapel of Ramesses I,"New Kingdom, Ramesside",Dynasty 19,reign of Seti I,ca. 1295–1294 B.C.,-1295,-1294,Limestone,,,Egypt,Northern Upper Egypt,,"[{'term': 'Kings', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025481', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q12097'}]"
830294,Tile with water flowers in a canal,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,"L. 22 cm (8 11/16 in), w. 20 cm (7 7/8 in), Depth 2 cm (13/16 in)",,Egypt,Eastern Delta,,"[{'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]"
553177,Cylinder bead,Third Intermediate Period,Dynasty 21,,ca. 1070–945 B.C.,-1070,-1070,Pale carnelian,"L. 1 cm (3/8 in.), Diam. 0.4 (3/16 in.)",,Egypt,"Upper Egypt, Thebes",,
587563,Wedjat eye plaque of Nesenaset,Third Intermediate Period,Dynasty 21,,ca. 1070–945 B.C.,-1070,-1070,Iron,L. 5 × W. 2 cm (1 15/16 × 13/16 in.),,Egypt,"Upper Egypt, Thebes",,
553468,Nehebkau amulet,Third Intermediate Period,Dynasty 21,,ca. 1070–945 B.C.,-1070,-1070,Faience,H. 2.9 cm (1 1/8 in.),,Egypt,"Upper Egypt, Thebes",,
587564,Barrel bead,Third Intermediate Period,Dynasty 21,,ca. 1070–945 B.C.,-1070,-1070,Lapis lazuli,L. 1.4 cm (9/16 in.),,Egypt,"Upper Egypt, Thebes",,
587570,Scarab amulet of Nesenaset,Third Intermediate Period,Dynasty 21,,ca. 1070–945 B.C.,-1070,-1070,Lapis lazuli,L. 0.7 × W. 0.6 × H. 0.4 cm (1/4 × 1/4 × 3/16 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Scarabs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300230813', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2442735'}]"
587562,Papyrus scepter (wadj) amulet,Third Intermediate Period,Dynasty 21,,ca. 1070–945 B.C.,-1070,-1070,Red glass,H. 2.1 cm (13/16 in.),,Egypt,"Upper Egypt, Thebes",,
544930,Relief fragment with royal titles,"New Kingdom, Amarna Period",Dynasty 18,reign of Akhenaten,ca. 1353–1336 B.C.,-1353,-1353,"Limestone, paint (mostly modern)",H. 24.1 cm (9 1/2 in.); W. 48.9 cm (19 1/4 in.),,,,,
544929,Relief fragment with a figure of a goddess,New Kingdom,Dynasty 19,,ca. 1295–1186 B.C.,-1295,-1295,"Limestone, paint (mostly modern)",H. 23.5 cm (9 1/4 in.); W. 48.2 cm (19 in.),,Egypt,,,
548332,Tile with a head of a Mesopotamian captive from the palace of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 12.5 × W. 10 × D. 2 cm (4 15/16 × 3 15/16 × 13/16 in.),,Egypt,Eastern Delta,,
568069,Tile fragment with a head of a prisoner,"New Kingdom, Ramesside",,,ca. 1200–1085 B.C.,-1200,-1200,Faience,H. 7 × W. 10 × D. 2.5 cm (2 3/4 × 3 15/16 × 1 in.),,,Eastern Delta,,
590875,Shabti with horizontal bands of inscription,Ramesside Period,19-20,,1295–1070 B.C.,-1295,-1070,"Wood, plaster, paint",H 24 × W 5.9 × D 4 cm (9 7/16 × 2 5/16 × 1 9/16 in.),,Egypt,,,"[{'term': 'Funerary Objects', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300234126', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2083647'}]"
548318,Ostracon with hieratic inscription,"New Kingdom, Ramesside–Late Period",Dynasty 19–26,,ca. 1295–525 B.C.,-1295,-1295,"Limestone, ink",H. 23 × W. 21 cm (9 1/16 × 8 1/4 in.),,Egypt,"Upper Egypt, Thebes",,
553624,Tweezers,Third Intermediate Period,Dynasty 21,,ca. 1070–945 B.C.,-1070,-1070,Bronze or copper alloy,L. 14.6 cm (5 3/4 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Cosmetic Tools', 'AAT_URL': None, 'Wikidata_URL': None}]"
553095,"Ring, scarab",Third Intermediate Period,Dynasty 21–24,,ca. 1070–712 B.C.,-1070,-1070,"Gold, green stone",Diam. 2.8 cm (1 1/8 in.),,Egypt,"Upper Egypt, Thebes",,
551237,Head from a Spoon in the form of a Swimming Girl,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,"Travertine (Egyptian alabaster), steatite",H. 2.8 × W. 2.7 × D. 2.3 cm (1 1/8 × 1 1/16 × 7/8 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Heads', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375054', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3409626'}, {'term': 'Girls', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300247581', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3031'}]"
571446,Strainer,"New Kingdom, Ramesside",Dynasty 19,Ramesses II or slightly later,ca. 1279–1213 B.C.,-1279,-1213,Silver,H. 5.8 cm (2 5/16 in.); Diam. 5.5 cm (2 3/16 in.),,Egypt,Eastern Delta,,
571447,Strainer,"New Kingdom, Ramesside",Dynasty 19,Ramesses II or slightly later,ca. 1279–1213 B.C.,-1279,-1213,Silver,Diam. 8 x L. 12.3 cm (3 1/8 x 4 13/16 in.),,Egypt,Eastern Delta,,
558338,Shabti,"New Kingdom, Ramesside",Dynasty 19,,ca. 1295–1070 B.C.,-1295,-1070,Faience,h. 5.9 cm (2 5/16 in),,Egypt,,,"[{'term': 'Hieroglyphs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028721', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193762'}, {'term': 'Funerary Objects', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300234126', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2083647'}]"
571448,Strainer,"New Kingdom, Ramesside",Dynasty 19,Ramesses II or slightly later,ca. 1279–1213 B.C.,-1279,-1213,Silver,Diam. 11.9 cm (4 11/16 in.),,Egypt,Eastern Delta,,
